"marketplace","customer_id","review_id","product_id","product_parent","product_title","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","year","product_category"
"US","43318462","R272C6CAGY5Z3R","0312376995","781393478","The Urban Hermit: A Memoir","4","10","10","N","N","Really Enjoyable Read","The Urban Hermit is a quick, clever, and sometimes laugh-out-loud funny book. Sam MacDonald is in his late 20s when the life that he's always enjoyed (drinking, hanging out, not really caring about money) comes to a grinding halt when he discovers how much money he owes to the IRS and credit card companies. He decides to try an \\""urban hermit\\"" plan for month, where he exists on the cheapest food possible (tuna, eggs and lentils) while saving up money to pay his creditors back. Unlike a lot of other memoirs where the author decides to follow some self-improvement plan for a year, MacDonald originally plans on being an urban hermit for only a month. Due to a series of unforeseen events, he ends up being an urban hermit (with some breaks) for many, many months. During that time, we see him travel to Bosnia for a reporting job, bust a porn shop for illegal viewing booths, save a trailer park, travel to a huge hippie gathering in Montana, get what sounds like his first real girlfriend, and various other adventures. MacDonald's style of writing is perfect for a book like this, and he has a way of describing situations and scenes that will make you laugh out loud. The parts where he is attempting to cook the lentils and traveling to Montana in a VW Bus are particularly funny. If you are from Maryland or the DC area, you will enjoy familiar sights being mentioned in the book.     The book around 280 pages, but is a very fast read. MacDonald is a sympathetic, likeable character and his discipline is admirable. One warning - because I know some people don't like this - there is a fair amount of drug use in the book, so if you are squeamish about that, be forewarned. If you don't care, then dive right in!","2008-12-15","2008","Books"
"US","21146706","R10GO0H6WOLWCN","0811877825","381157818","Goodnight, Goodnight Construction Site","4","0","1","N","Y","Four Stars","Fun book.","2015-08-13","2015","Books"
"US","48826075","R1TEA8EJNROTNB","0813031532","611482128","The Fosse Style","5","0","0","N","N","Fascinating book","As a fan of Fosse's work I have always been interested in learning about the intricacies of its' execution.  This book is easy to follow and the photographs provide a terrific amount of visual detail. A must for any instructor or student of dance!","2008-12-15","2008","Books"
"US","26114026","R1J3QLXXPP58JV","1514372908","578038718","Bolt Hole by the Sea: An Unexpected Life on a Greek Island","5","0","0","N","Y","Respite reading at its finest.","an American learning about a way of life on an  island filled with joys of family,food, traditions, travels, and love. Throughly enjoyed Hilary's first book!","2015-08-13","2015","Books"
"US","50364349","R3SO37D428LUNU","0884692558","735583054","Soul Physicians","5","1","1","N","N","A Useful Tool for the Counselor","I found \\""Soul Physicians\\"" to be a useful tool for my own development as a couselor and as an excellent resource in approaching others' struggles from a biblical perspective. The book contains many useful illustrations and charts to organize a framework within which a variety of client diagnoses can be addressed.","2008-12-15","2008","Books"
"US","45049562","R3V8VHJFDCYA6Z","1600512879","593135203","Teaching from Rest: A Homeschooler's Guide to Unshakable Peace","5","0","0","N","N","Peace in paperback!","I am so glad that this book is now available in paperback, so I can better see the gorgeous photos and keep it on my shelf for easy access. I have referenced the e-book version so many times in the past year when I was feeling overwhelmed and under water. Sarah Mackenzie's book always brings peace and joy back to our homeschool. This is just one of my very favorite homeschooling books.","2015-08-13","2015","Books"
"US","52754940","R2IM94TZOWCVXJ","1419616528","959616100","Myths We Live By : From the times of Jesus and Paul","5","2","2","N","Y","Fascinating Look at Jesus and the Birth of the Christian Religion: Interesting Analysis for Those w/ an Open Mind","This book is very fascinating but only if one does not have a closed mind and will accept the author's challenges as opinion even though his perceptions are based on his research and, in his view, facts. The author challenges the fact that Jesus rose from the dead and that he was actually the son of god or that he was a product of a miracle birth. He also outlines how crucifixions were done and his perception of how Jesus was crucified leads to his theory that Jesus was not resurrected from the dead. Very bold theory in the climate of Christian religion; however, the author's views can not necessarily erase a Christian's faith but certainly raises questions. In that, I find the book very interesting particularly as the author analyzes the words of the Apostles, offers challenges and compares there writings to history. One example is King Herod; historians have no record of him ordering the death of all new borns in any period, which lends itself to legend versus fact. Aside from the writings of the Apostles, particularly Luke, Mathew and John; the greater portion of the second half of the book focuses on Paul, an early convert, who through his evangelistic travels establishes Christian churches all along the Mediterranean. The author offers that Christ, including the original Apostles, did not intend to create a new religion but intended to refocus the Jewish religion on a more charitable basis towards the disadvantaged and spread a mission of peace while Paul, in conflict with the Apostles choose, to establish a new religion, embracing Jews but more aggressively and successfully gentiles, based on Jesus Christ and the Holy Trinity. This is a controversial book, but a challenging book, well written and very educational while utilizing the words of the Apostles and in great detail, Paul's. The author also references various time periods of when the various letters and epsitles were written as hinted in references in those documents. The contents are very educatuional about the life of paul, the period, Jesus, the Apostles, the Romans, the Jewisk Messiah and so much more.In my view, it can only wet your appetite for a more serious study of the bible and religions in general, not a bad thing at all.al about the life of paul, the period, Jesus, the Apostles, the Romans, the Jewisk Messiah and so much more.In my view, it can only wet your appetite for a more serious study of the bible and religions in general, not a bad thing at all.","2008-12-15","2008","Books"
"US","44056163","R2SIGTKV70PW85","1478927925","783473947","And the Good News Is...: Lessons and Advice from the Bright Side","3","1","2","N","Y","A Dissapointment","I've always liked Dana Perino but the audiobook was a disappointment.  The narrator was just OK, and while I knew Dana is a huge fan of George Bush, I frankly tired of hearing about her admiration of him so often.  I thought the book lacked depth.  I passed it on, not one I would want to hear again.","2015-08-13","2015","Books"
"US","9893178","R20Z5M6MZYE9HI","1602392730","116516496","Don't Start the Revolution Without Me!","4","1","2","N","Y","I love this guy!!","Jesse's format for this book is a little cheesy (hence 4 stars instead of 5- he's flashing back to his career as he and his wife drive to Mexico). The subject matter and what he reveals about our political system was VERY interesting. His pragmatic no-nonsense approach to life is what I admire about him and his book.I wish he would come back,we need more people like him!!","2008-12-15","2008","Books"
"US","13161706","RRIQA4L6MA9C0","0374123047","42409321","Notes on the Death of Culture: Essays on Spectacle and Society","3","19","45","N","N","Serious Thinking, but Absent Objective Measures","Author Llosa begins by summarizing T.S. Eliot's 1948 'Notes Towards the Definition of Culture.' Both Llosa and Eliot believe culture is in a deep crisis and in decline. 'Culture' varies between and within societies, determined by the economic conditions and prevalent religion. The idea that, through education, one can transmit a consistent culture to all society through education is both naïve and detrimental to real culture - the latter because the only way this can be accomplished is by making culture more superficial than ever. The main form for transmitting culture through generations is via the family, secondarily through the Church - not education.<br /><br />The most obvious examples of deteriorating culture - popular music -&#62; rap, the spread of tattoos, animalistic dancing, sliding respect for education, etc. receives surprising little attention.<br /><br />If people were better educated, they'd be more worthy of democracy. If capitalism were less venal, then perhaps the cultural world would be less populated by those with mediocre/zero talent but bright and flamboyant. Entertainment has replaced depth. Culture used to mean high culture, but today it's pop culture, black culture, youth culture - special cultures everywhere. Kant's philosophy is considered equal to Kim Kardashian's posterior. Replacing Orson Welles is Woody Allen. He's amazed at the existence of classroom masturbation workshops and those who think this is progress -supposedly the aim is to reduce unwanted and premature pregnancies, but the effect is to further trivialize sex and dissociate it from passion.<br /><br />Some interesting points - however, it's tempting to alternatively just dismiss him as a grouchy old man who doesn't like change.","2015-08-13","2015","Books"
